GCA_022669045.1_ASM2266904v1_genomic.fna	X. indica PPL560 T
GCA_009769165.1_ASM976916v1_genomic.fna		X. hyacinthi CFBP 1156 T
GCA_002940065.1_ASM294006v1_genomic.fna		X. populi CFBP1817 T
GCA_002940085.1_ASM294008v1_genomic.fna		X. sacchari CFBP4641 T
GCA_003064105.1_ASM306410v1_genomic.fna		X. hortorum NCPPB 939 T
GCA_004136375.1_ASM413637v1_genomic.fna		X. oryzae ICMP3125 T
GCA_008119715.1_ASM811971v1_genomic.fna		X. sontii PPL1 T
GCA_009192945.1_ASM919294v1_genomic.fna		X. maliensis LMG 27592 T
GCA_013112235.1_ASM1311223v1_genomic.fna	X. perforans DSM 18975 T
GCA_014236795.1_ASM1423679v1_genomic.fna	X. theicola CFBP 4691 T
GCA_020783655.1_ASM2078365v1_genomic.fna	X. melonis NCPPB 3434 T
GCA_020880735.1_ASM2088073v1_genomic.fna	X. translucens ATCC 19319 T
GCA_900018785.1_Xanthomonas_massiliensis_genomic.fna	       X. massiliensis SN8 T
GCA_900476395.1_CPBF_424_genomic.fna			       X. euroxanthea CPBF 424 T
GCA_905142475.1_LMG_31884_genomic.fna			       X. hydrangeae LMG 31884 T
